full_name,first_initial_last,first_name,last_name,team_abbr,common_nicknames,player_id
Precious Achiuwa,P. Achiuwa,Precious,Achiuwa,NYK,,P0001
Steven Adams,S. Adams,Steven,Adams,SAS,,P0002
Bam Adebayo,B. Adebayo,Bam,Adebayo,MIL,,P0003
Ochai Agbaji,O. Agbaji,Ochai,Agbaji,CLE,,P0004
Santi Aldama,S. Aldama,Santi,Aldama,FA,,P0005
Trey Alexander,T. Alexander,Trey,Alexander,FA,,P0006
Nickeil Alexander-Walker,N. Alexander-Walker,Nickeil,Alexander-Walker,SAS,,P0007
Jarrett Allen,J. Allen,Jarrett,Allen,HOU,,P0008
Grayson Allen,G. Allen,Grayson,Allen,CHI,,P0009
Jose Alvarado,J. Alvarado,Jose,Alvarado,ATL,,P0010
Kyle Anderson,K. Anderson,Kyle,Anderson,FA,,P0011
Giannis Antetokounmpo,G. Antetokounmpo,Giannis,Antetokounmpo,LAL,,P0012
Alex Antetokounmpo,A. Antetokounmpo,Alex,Antetokounmpo,FA,,P0013
Thanasis Antetokounmpo,T. Antetokounmpo,Thanasis,Antetokounmpo,FA,,P0014
Cole Anthony,C. Anthony,Cole,Anthony,FA,,P0015
OG Anunoby,O. Anunoby,OG,Anunoby,TOR,,P0016
Taran Armstrong,T. Armstrong,Taran,Armstrong,FA,,P0017
Deni Avdija,D. Avdija,Deni,Avdija,CHI,,P0018
Deandre Ayton,D. Ayton,Deandre,Ayton,DET,,P0019
Marcus Bagley,M. Bagley,Marcus,Bagley,FA,,P0020
Ace Bailey,A. Bailey,Ace,Bailey,NOP,,P0021
LaMelo Ball,L. Ball,LaMelo,Ball,MIN,,P0022
Lonzo Ball,L. Ball,Lonzo,Ball,SAS,,P0023
Mohamed Bamba,M. Bamba,Mohamed,Bamba,IND,,P0024
Paolo Banchero,P. Banchero,Paolo,Banchero,IND,,P0025
Desmond Bane,D. Bane,Desmond,Bane,MEM,,P0026
Dalano Banton,D. Banton,Dalano,Banton,FA,,P0027
Dominick Barlow,D. Barlow,Dominick,Barlow,FA,,P0028
Scottie Barnes,S. Barnes,Scottie,Barnes,UTA,,P0029
Harrison Barnes,H. Barnes,Harrison,Barnes,SAS,,P0030
Brooks Barnhizer,B. Barnhizer,Brooks,Barnhizer,FA,,P0031
R.J. Barrett,R. Barrett,R.J.,Barrett,MIL,,P0032
Charles Bassey,C. Bassey,Charles,Bassey,CLE,,P0033
Emoni Bates,E. Bates,Emoni,Bates,SAC,,P0034
Tamar Bates,T. Bates,Tamar,Bates,FA,,P0035
Jamison Battle,J. Battle,Jamison,Battle,NYK,,P0036
Nicolas Batum,N. Batum,Nicolas,Batum,PHX,,P0037
Damion Baugh,D. Baugh,Damion,Baugh,FA,,P0038
Bradley Beal,B. Beal,Bradley,Beal,MIL,,P0039
Malik Beasley,M. Beasley,Malik,Beasley,FA,,P0040
MarJon Beauchamp,M. Beauchamp,MarJon,Beauchamp,FA,,P0041
Reece Beekman,R. Beekman,Reece,Beekman,FA,,P0042
Joan Beringer,J. Beringer,Joan,Beringer,WAS,,P0043
Saddiq Bey,S. Bey,Saddiq,Bey,FA,,P0044
Goga Bitadze,G. Bitadze,Goga,Bitadze,CLE,,P0045
Bismack Biyombo,B. Biyombo,Bismack,Biyombo,FA,,P0046
Anthony Black,A. Black,Anthony,Black,CHI,,P0047
Bojan Bogdanovic,B. Bogdanovic,Bojan,Bogdanovic,FA,,P0048
Bogdan Bogdanović,B. Bogdanović,Bogdan,Bogdanović,CLE,,P0049
Bol Bol,B. Bol,Bol,Bol,ATL,,P0050
Adem Bona,A. Bona,Adem,Bona,HOU,,P0051
Devin Booker,D. Booker,Devin,Booker,NYK,,P0052
Chris Boucher,C. Boucher,Chris,Boucher,MEM,,P0053
Jamaree Bouyea,J. Bouyea,Jamaree,Bouyea,FA,,P0054
Tony Bradley,T. Bradley,Tony,Bradley,PHX,,P0055
Malaki Branham,M. Branham,Malaki,Branham,FA,,P0056
Christian Braun,C. Braun,Christian,Braun,NYK,,P0057
Koby Brea,K. Brea,Koby,Brea,FA,,P0058
Miles Bridges,M. Bridges,Miles,Bridges,DEN,,P0059
Mikal Bridges,M. Bridges,Mikal,Bridges,IND,,P0060
Jalen Bridges,J. Bridges,Jalen,Bridges,FA,,P0061
Oshae Brissett,O. Brissett,Oshae,Brissett,LAL,,P0062
Malcolm Brogdon,M. Brogdon,Malcolm,Brogdon,LAL,,P0063
Dillon Brooks,D. Brooks,Dillon,Brooks,WAS,,P0065
Johni Broome,J. Broome,Johni,Broome,SAS,,P0066
